product name:, price:, link:
"EVGA GeForce RTX 3080 FTW3 ULTRA GAMING Video Card, 10G-P5-3897-KL, 10GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate, LHR",1149,https://www.newegg.com/evga-geforce-rtx-3080-10g-p5-3897-kl/p/N82E16814487541
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X,1530,https://www.newegg.com/p/1FT-0004-006W2
"EVGA GeForce RTX 3080 Ti XC3 ULTRA GAMING Video Card, 12G-P5-3955-KR, 12GB GDDR6X, iCX3 Cooling, ARGB LED, Metal Backplate",1189,https://www.newegg.com/evga-geforce-rtx-3080-ti-12g-p5-3955-kr/p/N82E16814487548
ASUS ROG Strix GeForce RTX 3080 V2 OC Edition 10GB GDDR6X PCI Express 4.0 x16 Video Card ROG-STRIX-RTX3080-O10G-V2-GAMING (LHR),814,https://www.newegg.com/asus-geforce-rtx-3080-strix-rtx3080-o10g-v2-gaming/p/N82E16814126534
ASUS TUF Gaming NVIDIA GeForce RTX 3080 TUF-RTX3080-10G-GAMING Video Card,697,https://www.newegg.com/asus-geforce-rtx-3080-tuf-rtx3080-10g-gaming/p/N82E16814126453
"EVGA GeForce RTX 3080 12GB XC3 ULTRA GAMING, 12G-P5-4865-KL, 12GB GDDR6X, iCX3 Cooling, ARGB LED, Metal Backplate, LHR",1149,https://www.newegg.com/evga-geforce-rtx-3080-12g-p5-4865-kl/p/N82E16814487557
"GIGABYTE GeForce RTX 3080 GAMING OC 12G Graphics Card, 3 x WINDFORCE Fans, 12GB 384-bit GDDR6X, GV-N3080GAMING OC-12GD Video Card",915,https://www.newegg.com/gigabyte-geforce-rtx-3080-gv-n3080gaming-oc-12gd/p/N82E16814932489
Nvidia 3080 Founders Edition 10GB GDDR6X,1165,https://www.newegg.com/p/1FT-0004-007N9
NVIDIA GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card GEFORCE RTX 3080 Ti FE,1511,https://www.newegg.com/nvidia-geforce-rtx-3080-ti-fe/p/N82E16814132094
GDDR6X Gigabyte AORUS GeForce RTX 3080 MASTER 10G LHR Graphics Card 320bit RTX 3080 Gaming Video,1250,https://www.newegg.com/p/1FT-000A-003X6
Refurbished MSI RTX 3080 SUPRIM X 10G LHR Suprim GeForce RTX 3080 Video Card,529,https://www.newegg.com/msi-geforce-rtx-3080-rtx-3080-suprim-x-10g-lhr/p/1FT-0009-009K4
"Gigabyte GV-N3080TURBO-10GD GeForce RTX 3080 Turbo 10G rev 2.0 LHR, 10GB GDDR6X, Extreme Durability Graphics Card",1190,https://www.newegg.com/p/1FT-000A-002V4
EVGA GeForce RTX 3080 Ti 12GB FTW3 ULTRA GAMING GDDR6X Video Graphics Card GPU,1377,https://www.newegg.com/p/1FT-001K-00DP4
